wooooo,1
the streamer loot is wild,0
!subcount,0
Currently there are 98260 Ninjas subscribed to the channel,0
@Ninja Go Furry instead.,0
xbox is better than ps4... change my mind,1
ninjaFan ninjaFan ninjaFan ninjaFan,1
!subcount,0
streamer loot,1
So this is confirmed a skin in ninjas honor or??,0
Adam Savage would love to do that w/ u,0
??????????????????????????,1
What is this loot,0
Oh my loot,0
@killer_kitty_stephens email his business email,0
??,0
ninja,-1
Ninja was diagnosed with tugma Tugma balls,1
Join the discord,-1
solomonli just subscribed with Twitch Prime!,1
Y’all realize only like 30% of pc players are good lol the rest are bots,0
What do you think of the panda team leader @ninja,0
ssjshayan just subscribed with Twitch Prime!,0
thats my ideal loadout,0
I do have Xbox,1
!subcount,0
ill duos,0
you to skinny for cosplay,1
@bfchurn11 ps4 is better,-1
I know some people yah,-1
LOOT? HELLO???,1
ninjaPon ninjaPon ninjaPon ninjaPon ninjaPon ninjaPon ninjaPon,0
ninjaPon,0
Medievalry just subscribed with Twitch Prime!,0
seanhorkan2345 just subscribed with Twitch Prime!,-1
ninjaBlast1 ninjaBlast2 ninjaBlast3,1
Yes look at https,0
@Killerops120 -> Questionable judgement. [stop posting links,1
ninjaAim,0
Narancs97HUN just subscribed with Twitch Prime!,0
m3ga5tay just subscribed with Twitch Prime!,0
ninjaCRINJA,1
ryhno2554 just subscribed with Twitch Prime!,0
ligmia,0
lol,0
Im on console and I’ve destroyed so many pc players,0
shelgor325 just subscribed with a Tier 1 sub. shelgor325 subscribed for 5 months in a row!,0
/me Support the stream with a FREE SUBSCRIPTION! Link an Amazon Prime to your Twitch account - twitch.amazon.com/prime ninjaPrime ninjaPrime Click subscribe to check if a free prime sub is available to use!,0
lmao shut up console noobs LUL,0
ballisticbutter05 just subscribed with Twitch Prime!,0
Man ninja you killed myth twice,0
PS4 doesn't have true 4K,0
@black_hammer331 ok and compared to console?,0
its 2,1
ninjaIQ ninjaIQ ninjaIQ ninjaIQ ninjaIQ ninjaIQ ninjaIQ,0
triggered,0
yes look at my buddy cave8theman,0
gasflamer just subscribed with Twitch Prime!,1
TheGriizlyBear just subscribed with Twitch Prime. TheGriizlyBear subscribed for 6 months in a row!,0
why you bully me ninjaS ninjaTroll,-1
"u realize like 1% of console players are close to pc players, and 99% are bots",1
bendystraw26 just subscribed with Twitch Prime!,0
@hero_twitch5 Happy Sunday?,1
I said it in stream the other day that this stream with the katana was gonna be your favorite skin 10000000000% @Ninja,0
just subbed,0
ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey,0
ninjaWifey ninjaWifey ninjaWifey,1
ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey,1
ninjaWifey,0
ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey,1
ninjaCRINJA,0
ninjaAww ninjaAww ninjaAww ninjaAww ninjaAww,0
Nightbot do you like me?,-1
WutFace,0
ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey,-1
ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey,0
!dpi,1
800 https,0
ninjaWifey ninjaWifey ninjaWifey ninjaWifey,0
am I the only one from michigan?,0
ninjaSplode ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey,0
Did fear already leave his house?,1
ninjaWifey ninjaWifey ninjaWifey ninjaWifey,1
ninjaWifey ninjaWifey ninjaWifey,1
yes,0
I love you nightbot,0
"/me Join the Ninjas, gain loyalty badges, 50 emotes, support Tyler and the stream by subscribing here! twitch.tv/subs/ninja ninjaK ninjaGold",1
ninjaWifey ninjaWifey ninjaWifey ninjaWifey,1
@affable_furry tnx,0
ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey,0
ninjaWifey,0
HI HONEY <3,0
!jessishere,1
ninjaPon,1
ninjaPon,0
!title,1
ninjaBlast1 ninjaBlast2 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaSplode,0
@Texa -> Current Stream Title,1
keke do you love me,1
ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey,0
Subbed,0
@Texa -> The stream title has been updated to,-1
!title Games with the BOYS | Follow my socials @Ninja,0
@hero_twitch5 No problem! barcLove,0
ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaAww ninjaAww ninjaAww ninjaAww ninjaAww ninjaAww ninjaAww ninjaAww ninjaAww ninjaAww,1
WutFace,0
nightbot is drunk again,0
CLIP IT,0
justinrhee7 just subscribed with Twitch Prime!,0
Nice self promo Avid,1
ninjaBlast1 ninjaBlast2 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaSplode ninjaSplode,1
if you're going samurai you gotta commit seppuku if you lose,0
SHOTS,1
LUL,0
OOOOOOOOO,-1
SHOTSSSSS,0
ninjaPonPon ninjaPonPon ninjaPonPon ninjaPonPon ninjaPonPon ninjaPonPon ninjaPonPon ninjaPonPon,0
LMAOOOOO,1
ninjaShrug ninjaShrug ninjaShrug ninjaShrug ninjaShrug ninjaShrug ninjaShrug ninjaShrug ninjaShrug,0
ninjaTooth ninjaTooth ninjaTooth,1
Hi Youtube,1
Mitch LUL,1
ninjaHS ninjaHS ninjaHS ninjaHS ninjaHS ninjaHS ninjaHS ninjaHS ninjaHS ninjaHS ninjaHS ninjaHS,0
Kappa,1
shots fired,0
LOLOLOL,1
LUL,0
ooooooooooo,0
egzokety just subscribed with Twitch Prime!,0
SHOTS FIRED,-1
LMAOO,0
jasmans_ just subscribed with Twitch Prime!,0
ninjaFail ninjaFail ninjaFail ninjaFail ninjaFail,1
Omg,-1
Lol,0
ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep,-1
ninjaBlood ninjaBlood ninjaBlood ninjaBlood ninjaBlood,0
TOXIC,0
oreocooki8 just subscribed with Twitch Prime!,1
shots fired,-1
helleo,1
nightplayz101 just subscribed with Twitch Prime!,1
ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep,0
ninjaTroll,1
Clip,-1
Truth,0
ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep,-1
pills,1
ninjaCRINJA,-1
T O X I C,1
nigg,1
ninjaTooth ninjaTooth ninjaTooth,0
he isnt lying,1
LUL,1
Poggers,1
hahaha,0
and24wil just subscribed with Twitch Prime!,0
LOL,0
hi,0
livensehigh just subscribed with Twitch Prime!,-1
Thats so true ninja lol,0
Toxic like the kid who played with pokimane earlier,0
Classic myth,1
cue the Ali-A music,1
Clip it lol,1
https,0
who got first place today?,0
LUL,0
ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep,-1
hes not wrong,-1
someone is making it as you speak,0
im clipping that and sending that to myth,-1
poki is creepy,1
LOOOL,0
fortnite is my city 100% LUL,0
And uploading......,0
trueeeee ninjaCRINJA ninjaCRINJA,1
Hellooo,1
ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep,0
sturbevile788 just subscribed with Twitch Prime!,0
go ninja win for my te best squad,0
Youtube xD,-1
ji,0
LUL what’s sad is it’s basically true LUL,0
Clip,0
Who won today's Summer Skirmish??,0
The video is at 98% processing hold up,0
ok we get it,-1
The toxicity of the city!,0
Does someone have a clip of that,0
damianog_24 just subscribed with Twitch Prime!,0
ninja thank you for such an amazing stream,0
hi,0
Who wants me to gift them a sub ninjaPopcorn ninjaPopcorn,0
https,1
scromero11 just subscribed with Twitch Prime!,1
westernbeast043 just subscribed with Twitch Prime!,0
All the triggered pc players when they know have their lobby’s are bots and they are as good as they think LUL,0
ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep Poki....,0
cloakzy roasts myth and myth wont play with guy gamers due to relationship rumors,0
ninjaCreep ninjaCreep ninjaCreep ninjaCreep,0
ninjaBlank,-1
HI,-1
Who won the Skirmish?,0
Fax,0
ninjaHi ninjaHi ninjaHi ninjaHi ninjaAmazing ninjaAmazing ninjaAmazing ninjaAmazing ninjaH ninjaHype,-1
schaferb7 just subscribed with Twitch Prime. schaferb7 subscribed for 3 months in a row!,1
ericb2715 just subscribed with Twitch Prime!,1
ninjaCreep,0
Ninja supports doxxing? Kappa,-1
vpn's monkaS,0
that's why FCC needs to regulate streaming,1
ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep ninjaCreep,-1
ninjaBlast2 ninjaBlast2 ninjaBlast2 ninjaBlast2 ninjaBlast2 ninjaBlast2 ninjaBlast2 ninjaBlast2 ninjaBlast2 ninjaBlast2 ninjaBlast2 ninjaBlast2 ninjaBlast2 ninjaBlast2 ninjaBlast2 ninjaBlast2 ninjaBlast2 ninjaBlast2 ninjaBlast2 ninjaBlast2,-1
nightbot do you agree with ninja?,0
WutFace,0
even if u did know who they are what are you gonna do? call the cops?,-1
What's wrong with China? arexCringe,0
payton08f just subscribed with Twitch Prime!,0
Yo whoever gifted me a sub thanks ninjaCRINJA,0
someone wanna whisper me what happend,1
nickmercsREAL nickmercsREAL nickmercsREAL nickmercsREAL nickmercsREAL nickmercsREAL nickmercsREAL nickmercsREAL nickmercsREAL nickmercsREAL nickmercsREAL nickmercsREAL nickmercsREAL nickmercsREAL nickmercsREAL nickmercsREAL nickmercsREAL nickmercsREAL nickmercsREAL nickmercsREAL nickmercsREAL nickmercsREAL,0
Thats Freedom of Speech,0
ninjaBlood ninjaBlood ninjaBlood ninjaBlood,-1
Regulation would be worse,0
@thaduece2 F that,0
ninjaBlast1 ninjaBlast2 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaCart,1
are subs going down?,0
ninjaBlast1 ninjaBlast2 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBomb ninjaSplode,1
It’s disgusting but freedom of speech man,0
ninjaClap ninjaClap ninjaCreep ninjaClap ninjaClap ninjaCreep,1
uuuummmmmmmmmm no,0
im haxcked,1
ninjaPrime,0
WHAT,0
Toornee,1
ninjaFail ninjaFail ninjaFail ninjaFail ninjaFail,0
WHAT,0
ASG_jpull17 just subscribed with Twitch Prime!,1
VPN is mostly used for work,-1
jflaboe just subscribed with Twitch Prime!,0
getting triggered by comments made by 12 year olds LUL,0
ninjaBlast1 ninjaBlast2 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3 ninjaBlast3,0
ninjaSplat ninjaStars ninjaStars ninjaStars ninjaStars ninjaStars ninjaBomb ninjaBomb ninjaBomb ninjaBomb ninjaBomb ninjaDisco ninjaDisco ninjaDisco ninjaDisco ninjaDisco ninjaDisco ninjaDisco ninjaDisco ninjaDisco ninjaDisco,0
but you are a button clicker and don;t get to decide,1
@thaduece2 no way. they would kill streaming,-1
Bdog135 just subscribed with Twitch Prime. Bdog135 subscribed for 5 months in a row!,1
Wow,1
Most PC players are bots donr @ me,0
Bruh just stop,1
Ya,0
@SamhAM2 that's not freedom of speech,-1
work from home,0
i used a vpn in china cause china hasa a effed govt,0
freedom of speech shouldn't give you the right to be vile,0
ninjaPon ninjaPon ninjaPon,0
Agreed,0
ninjaPon,-1
!uptime,0
Communist Ninja Kappa,1
Ninja has been streaming for 1 hour 9 minutes 38 seconds,0
YAAAAAAAAA,0
atyyy,1
vpn is used to bypass school filter LUL,0
Freedom of speech btw ninjaCRINJA,0
Leave China alone arexCringe,1
ninjaPon ninjaPon ninjaPon ninjaPon,0
For school we have to have a vpn to access resources,0
NA BRO,-1
"I need a dollar dollar, a dollar is what I neeeeed!",0
I use it for school,1
